room_id,asset_type,power_draw,usage_hours,operating_hours_since_service,error_log_count,failure
320,TV,0.325,5.3,3876,16,1
415,AC,0.238,21.5,4663,27,1
427,TV,0.656,3.2,2646,28,1
306,Set-top box,0.108,14.0,1045,4,0
117,TV,0.611,15.9,168,5,1
302,AC,0.918,3.8,593,7,0
318,Set-top box,0.233,2.2,3446,13,1
401,Set-top box,0.47,2.1,1555,20,1
126,Set-top box,0.322,14.4,2945,18,1
304,TV,0.333,8.6,526,21,0
116,AC,0.968,9.5,3290,37,1
213,TV,0.461,4.8,1669,0,0
305,TV,0.557,1.6,2284,2,1
326,Set-top box,0.074,10.0,3406,34,0
421,Set-top box,0.456,7.9,586,12,1
313,Set-top box,0.346,13.5,2118,17,0
102,Set-top box,0.284,14.7,2863,46,0
226,Set-top box,0.124,15.9,1374,4,0
310,Set-top box,0.347,10.8,1972,21,1
211,TV,0.601,12.3,3015,5,1
130,Set-top box,0.311,16.2,2473,9,0
313,Set-top box,0.45,17.9,2558,39,1
330,AC,0.324,7.0,2322,17,0
417,AC,0.38,18.8,1170,26,1
330,TV,0.376,7.8,2444,3,0
418,AC,0.848,13.6,4219,39,1
111,TV,0.681,10.5,599,12,1
422,TV,0.366,8.4,2875,19,1
317,TV,0.137,12.7,203,9,0
101,Set-top box,0.145,10.2,3039,44,1
430,TV,0.12,4.7,3486,7,0
206,TV,0.224,12.7,403,21,1
219,Set-top box,0.322,15.9,2222,22,1
111,AC,0.677,17.7,4354,28,1
103,Set-top box,0.351,10.6,942,29,0
117,TV,0.6,15.2,1071,1,1
207,AC,0.248,9.5,4207,22,1
317,TV,0.555,15.7,223,5,1
320,TV,0.511,10.7,175,21,1
328,Set-top box,0.467,13.0,1661,23,1
127,Set-top box,0.481,10.5,469,13,0
307,Set-top box,0.291,15.0,2695,12,0
320,Set-top box,0.194,9.3,2835,18,0
211,Set-top box,0.219,11.9,1025,46,1
212,AC,0.966,17.4,2905,32,1
219,TV,0.185,5.5,789,2,0
329,Set-top box,0.498,10.5,2274,28,1
107,AC,0.598,10.6,1108,24,0
306,AC,0.811,12.6,339,6,0
217,TV,0.163,7.2,3239,27,1
416,TV,0.521,8.1,747,26,1
310,Set-top box,0.153,16.8,1377,15,0
424,TV,0.37,9.5,2422,0,0
402,Set-top box,0.083,4.4,1047,48,1
319,AC,0.819,19.3,4324,12,0
119,TV,0.384,12.2,2982,14,1
117,AC,0.301,10.5,3616,12,0
117,TV,0.261,7.3,1433,26,1
212,Set-top box,0.135,17.8,3378,20,1
101,AC,0.225,3.9,1955,32,1
129,TV,0.654,5.7,1798,22,0
414,AC,0.261,11.0,4086,21,1
209,TV,0.483,12.8,1960,19,1
316,Set-top box,0.405,6.3,1970,2,0
122,TV,0.404,10.5,2110,9,0
113,TV,0.358,1.1,929,6,0
206,AC,0.628,2.1,1005,0,0
225,AC,0.9,15.4,4065,40,1
315,Set-top box,0.436,7.1,3158,15,1
425,Set-top box,0.427,12.3,1633,44,0
402,Set-top box,0.489,12.3,341,39,0
424,AC,0.434,12.3,858,28,1
116,AC,0.416,2.5,4941,14,1
411,AC,0.593,14.4,4696,8,1
418,TV,0.611,16.0,2429,29,1
302,Set-top box,0.325,3.6,3139,46,1
230,AC,0.365,5.0,1029,12,0
128,AC,0.984,13.3,2853,34,1
112,AC,0.874,6.6,1287,0,1
108,AC,0.273,20.2,3745,22,0
